isco08_code,ISCO-08 Title EN,soc_code,2010 SOC Title,Occupation Title,Language Modeling AIOE,isco_major_group
1112,Senior government officials,11-1011,Chief Executives,Chief Executives,0.8367724867724868,1
1112,Senior government officials,11-1021,General and Operations Managers,General and Operations Managers,0.6698412698412698,1
1112,Senior government officials,11-9161,Emergency Management Directors,Emergency Management Directors,0.7288359788359787,1
1113,Traditional chiefs and heads of villages,11-1011,Chief Executives,Chief Executives,0.8367724867724868,1
1114,Senior officials of special-interest organizations,11-1021,General and Operations Managers,General and Operations Managers,0.6698412698412698,1
1114,Senior officials of special-interest organizations,11-2031,Public Relations and Fundraising Managers,Public Relations and Fundraising Managers,0.8563492063492063,1
1114,Senior officials of special-interest organizations,11-9199,"Managers, All Other","Managers, All Other",0.7312169312169312,1
1120,Managing directors and chief executives,11-1011,Chief Executives,Chief Executives,0.8367724867724868,1
1120,Managing directors and chief executives,11-1021,General and Operations Managers,General and Operations Managers,0.6698412698412698,1
1211,Finance managers,11-3031,Financial Managers,Financial Managers,0.8330687830687831,1
1212,Human resource managers,11-3111,Compensation and Benefits Managers,Compensation and Benefits Managers,0.8785714285714286,1
1212,Human resource managers,11-3121,Human Resources Managers,Human Resources Managers,0.85,1
1212,Human resource managers,11-3131,Training and Development Managers,Training and Development Managers,0.844179894179894,1
1213,Policy and planning managers,11-9199,"Managers, All Other","Managers, All Other",0.7312169312169312,1
1219,Business services and administration managers not elsewhere classified,11-2031,Public Relations and Fundraising Managers,Public Relations and Fundraising Managers,0.8563492063492063,1
1219,Business services and administration managers not elsewhere classified,11-3011,Administrative Services Managers,Administrative Services Managers,0.6936507936507936,1
1219,Business services and administration managers not elsewhere classified,11-3061,Purchasing Managers,Purchasing Managers,0.8589947089947089,1
1219,Business services and administration managers not elsewhere classified,11-9061,Funeral Service Managers,Funeral Service Managers,0.5796296296296297,1
1219,Business services and administration managers not elsewhere classified,11-9131,Postmasters and Mail Superintendents,Postmasters and Mail Superintendents,0.7195767195767195,1
1219,Business services and administration managers not elsewhere classified,11-9199,"Managers, All Other","Managers, All Other",0.7312169312169312,1
1221,Sales and marketing managers,11-2021,Marketing Managers,Marketing Managers,0.8089947089947089,1
1221,Sales and marketing managers,11-2022,Sales Managers,Sales Managers,0.8328042328042328,1
1222,Advertising and public relations managers,11-2011,Advertising and Promotions Managers,Advertising and Promotions Managers,0.8124338624338624,1
1222,Advertising and public relations managers,11-2031,Public Relations and Fundraising Managers,Public Relations and Fundraising Managers,0.8563492063492063,1
1223,Research and development managers,11-9041,Architectural and Engineering Managers,Architectural and Engineering Managers,0.6616402116402117,1
1223,Research and development managers,11-9121,Natural Sciences Managers,Natural Sciences Managers,0.8187830687830688,1
1311,Agricultural and forestry production managers,11-9013,"Farmers, Ranchers, and Other Agricultural Managers","Farmers, Ranchers, and Other Agricultural Managers",0.4486772486772487,1
1312,Aquaculture and fisheries production managers,11-9013,"Farmers, Ranchers, and Other Agricultural Managers","Farmers, Ranchers, and Other Agricultural Managers",0.4486772486772487,1
1321,Manufacturing managers,11-3051,Industrial Production Managers,Industrial Production Managers,0.5841269841269842,1
1322,Mining managers,11-9199,"Managers, All Other","Managers, All Other",0.7312169312169312,1
