SOC Code;Occupation Title;Language Modeling AIOE
11-1011;Chief Executives;1,309
11-1021;General and Operations Managers;0,678
11-2011;Advertising and Promotions Managers;1,217
11-2021;Marketing Managers;1,204
11-2022;Sales Managers;1,294
11-2031;Public Relations and Fundraising Managers;1,383
11-3011;Administrative Services Managers;0,768
11-3021;Computer and Information Systems Managers;0,945
11-3031;Financial Managers;1,295
11-3051;Industrial Production Managers;0,354
11-3061;Purchasing Managers;1,393
11-3071;Transportation, Storage, and Distribution Managers;0,905
11-3111;Compensation and Benefits Managers;1,467
11-3121;Human Resources Managers;1,359
11-3131;Training and Development Managers;1,337
11-9013;Farmers, Ranchers, and Other Agricultural Managers;-0,158
11-9021;Construction Managers;0,636
11-9031;Education Administrators, Preschool and Childcare Center/Program;0,967
11-9032;Education Administrators, Elementary and Secondary School;1,199
11-9033;Education Administrators, Postsecondary;1,545
11-9039;Education Administrators, All Other;0,628
11-9041;Architectural and Engineering Managers;0,647
11-9051;Food Service Managers;0,061
11-9061;Funeral Service Managers;0,337
11-9071;Gaming Managers;0,719
11-9081;Lodging Managers;0,464
11-9111;Medical and Health Services Managers;1,315
11-9121;Natural Sciences Managers;1,241
11-9131;Postmasters and Mail Superintendents;0,866
11-9141;Property, Real Estate, and Community Association Managers;1,215
11-9151;Social and Community Service Managers;1,225
11-9161;Emergency Management Directors;0,901
11-9199;Managers, All Other;0,910
13-1011;Agents and Business Managers of Artists, Performers, and Athletes;1,248
13-1021;Buyers and Purchasing Agents, Farm Products;0,737
13-1022;Wholesale and Retail Buyers, Except Farm Products;0,791
13-1023;Purchasing Agents, Except Wholesale, Retail, and Farm Products;1,496
13-1031;Claims Adjusters, Examiners, and Investigators;1,106
13-1032;Insurance Appraisers, Auto Damage;0,582
13-1041;Compliance Officers;0,572
13-1051;Cost Estimators;1,134
13-1071;Human Resources Specialists;1,557
13-1074;Farm Labor Contractors;-0,404
13-1075;Labor Relations Specialists;1,431
13-1081;Logisticians;1,081
13-1111;Management Analysts;1,548
13-1121;Meeting, Convention, and Event Planners;0,513
13-1131;Fundraisers;1,405
13-1141;Compensation, Benefits, and Job Analysis Specialists;1,362
13-1151;Training and Development Specialists;1,323
13-1161;Market Research Analysts and Marketing Specialists;1,356
13-1199;Business Operations Specialists, All Other;0,925
13-2011;Accountants and Auditors;1,214
13-2021;Appraisers and Assessors of Real Estate;0,628
13-2031;Budget Analysts;1,300
13-2041;Credit Analysts;1,092
13-2051;Financial Analysts;1,273
13-2052;Personal Financial Advisors;1,396
13-2053;Insurance Underwriters;1,262
13-2061;Financial Examiners;1,358
13-2071;Credit Counselors;1,355
13-2072;Loan Officers;1,477
13-2081;Tax Examiners and Collectors, and Revenue Agents;1,253
13-2082;Tax Preparers;1,144
13-2099;Financial Specialists, All Other;1,253
15-1111;Computer and Information Research Scientists;0,968
15-1121;Computer Systems Analysts;1,046
15-1122;Information Security Analysts;1,045
15-1131;Computer Programmers;1,025
15-1132;Software Developers, Applications;0,882
15-1133;Software Developers, Systems Software;1,166
15-1134;Web Developers;0,789
15-1141;Database Administrators;0,996
15-1142;Network and Computer Systems Administrators;0,475
15-1143;Computer Network Architects;0,495
15-1151;Computer User Support Specialists;0,326
15-1152;Computer Network Support Specialists;0,657
15-1199;Computer Occupations, All Other;1,044
15-2011;Actuaries;1,200
15-2021;Mathematicians;1,166
15-2031;Operations Research Analysts;1,234
15-2041;Statisticians;1,243
15-2091;Mathematical Technicians;0,438
17-1011;Architects, Except Landscape and Naval;0,610
17-1012;Landscape Architects;0,836
17-1021;Cartographers and Photogrammetrists;0,472
17-1022;Surveyors;-0,121
17-2011;Aerospace Engineers;1,117
17-2021;Agricultural Engineers;0,690
17-2031;Biomedical Engineers;0,734
17-2041;Chemical Engineers;0,906
17-2051;Civil Engineers;0,927
17-2061;Computer Hardware Engineers;0,977
17-2071;Electrical Engineers;0,901
17-2072;Electronics Engineers, Except Computer;0,457
17-2081;Environmental Engineers;1,044
17-2111;Health and Safety Engineers, Except Mining Safety Engineers and Inspectors;0,764
17-2112;Industrial Engineers;0,905
17-2121;Marine Engineers and Naval Architects;0,343
17-2131;Materials Engineers;0,780
17-2141;Mechanical Engineers;0,678
17-2151;Mining and Geological Engineers, Including Mining Safety Engineers;1,031
17-2161;Nuclear Engineers;1,073
17-2171;Petroleum Engineers;1,033
17-2199;Engineers, All Other;0,581
17-3011;Architectural and Civil Drafters;0,554
17-3012;Electrical and Electronics Drafters;0,676
17-3013;Mechanical Drafters;0,382
17-3021;Aerospace Engineering and Operations Technicians;0,201
17-3022;Civil Engineering Technicians;0,553
17-3023;Electrical and Electronic Engineering Technicians;0,078
17-3024;Electro-Mechanical Technicians;-0,568
17-3025;Environmental Engineering Technicians;-0,124
17-3026;Industrial Engineering Technicians;0,347
17-3027;Mechanical Engineering Technicians;-0,274
17-3029;Engineering Technicians, Except Drafters, All Other;-0,079
17-3031;Surveying and Mapping Technicians;-0,290
19-1011;Animal Scientists;0,972
19-1012;Food Scientists and Technologists;0,573
19-1013;Soil and Plant Scientists;0,609
19-1020;Biologists;0,662
19-1021;Biochemists and Biophysicists;0,794
19-1022;Microbiologists;0,474
19-1023;Zoologists and Wildlife Biologists;0,327
19-1029;Biological Scientists, All Other;0,883
19-1031;Conservation Scientists;0,074
19-1032;Foresters;-0,196
19-1041;Epidemiologists;1,284
19-1042;Medical Scientists, Except Epidemiologists;1,167
19-2011;Astronomers;1,035
19-2012;Physicists;1,097
19-2021;Atmospheric and Space Scientists;1,259
19-2031;Chemists;0,327
19-2032;Materials Scientists;0,786
19-2041;Environmental Scientists and Specialists, Including Health;0,870
19-2042;Geoscientists, Except Hydrologists and Geographers;0,567
19-2043;Hydrologists;0,555
19-2099;Physical Scientists, All Other;0,913
19-3011;Economists;1,330
19-3022;Survey Researchers;1,279
19-3031;Clinical, Counseling, and School Psychologists;1,626
19-3032;Industrial-Organizational Psychologists;1,427
19-3039;Psychologists, All Other;1,330
19-3041;Sociologists;1,747
19-3051;Urban and Regional Planners;1,075
19-3091;Anthropologists and Archeologists;0,739
19-3092;Geographers;1,363
19-3093;Historians;1,491
19-3094;Political Scientists;1,687
19-3099;Social Scientists and Related Workers, All Other;1,085
19-4011;Agricultural and Food Science Technicians;-0,049
19-4021;Biological Technicians;0,133
19-4031;Chemical Technicians;-0,094
19-4041;Geological and Petroleum Technicians;-0,027
19-4051;Nuclear Technicians;-0,091
19-4061;Social Science Research Assistants;1,126
19-4091;Environmental Science and Protection Technicians, Including Health;-0,143
19-4092;Forensic Science Technicians;0,010
19-4093;Forest and Conservation Technicians;-0,761
19-4099;Life, Physical, and Social Science Technicians, All Other;0,176
21-1011;Substance Abuse and Behavioral Disorder Counselors;1,204
21-1012;Educational, Guidance, School, and Vocational Counselors;1,196
21-1013;Marriage and Family Therapists;1,473
21-1014;Mental Health Counselors;1,537
21-1015;Rehabilitation Counselors;0,835
21-1021;Child, Family, and School Social Workers;0,957
21-1022;Healthcare Social Workers;1,094
21-1023;Mental Health and Substance Abuse Social Workers;1,253
21-1091;Health Educators;0,968
21-1092;Probation Officers and Correctional Treatment Specialists;0,897
21-1093;Social and Human Service Assistants;0,557
21-1094;Community Health Workers;0,135
21-2011;Clergy;1,470
21-2021;Directors, Religious Activities and Education;1,355
23-1011;Lawyers;1,454
23-1012;Judicial Law Clerks;1,513
23-1021;Administrative Law Judges, Adjudicators, and Hearing Officers;1,547
23-1022;Arbitrators, Mediators, and Conciliators;1,647
23-1023;Judges, Magistrate Judges, and Magistrates;1,646
23-2011;Paralegals and Legal Assistants;1,333
23-2091;Court Reporters;0,903
23-2093;Title Examiners, Abstractors, and Searchers;1,384
25-1011;Business Teachers, Postsecondary;1,618
25-1021;Computer Science Teachers, Postsecondary;1,390
25-1022;Mathematical Science Teachers, Postsecondary;1,407
25-1031;Architecture Teachers, Postsecondary;1,246
25-1032;Engineering Teachers, Postsecondary;1,337
25-1041;Agricultural Sciences Teachers, Postsecondary;1,154
25-1042;Biological Science Teachers, Postsecondary;1,493
25-1043;Forestry and Conservation Science Teachers, Postsecondary;1,563
25-1051;Atmospheric, Earth, Marine, and Space Sciences Teachers, Postsecondary;1,522
25-1052;Chemistry Teachers, Postsecondary;1,450
25-1053;Environmental Science Teachers, Postsecondary;1,603
25-1054;Physics Teachers, Postsecondary;1,240
25-1061;Anthropology and Archeology Teachers, Postsecondary;1,534
25-1062;Area, Ethnic, and Cultural Studies Teachers, Postsecondary;1,669
25-1063;Economics Teachers, Postsecondary;1,462
25-1064;Geography Teachers, Postsecondary;1,629
25-1065;Political Science Teachers, Postsecondary;1,770
25-1066;Psychology Teachers, Postsecondary;1,716
