STRUCTURE,STRUCTURE_ID,STRUCTURE_NAME,freq,Time frequency,unit,Unit of measure,nace_r2,Statistical classification of economic activities in the European Community (NACE Rev. 2),na_item,National accounts indicator (ESA 2010),geo,Geopolitical entity (reporting),TIME_PERIOD,Time,OBS_VALUE,Observation value,OBS_FLAG,Observation status (Flag) V2 structure,CONF_STATUS,Confidentiality status (flag)
dataflow,ESTAT:NAMA_10_A64_E(1.0),Employment by detailed industry (NACE Rev.2) - national accounts,A,Annual,THS_HW,Thousand hours worked,A,"Agriculture, forestry and fishing",EMP_DC,Total employment domestic concept,AT,Austria,2008,,527584,,,,,
dataflow,ESTAT:NAMA_10_A64_E(1.0),Employment by detailed industry (NACE Rev.2) - national accounts,A,Annual,THS_HW,Thousand hours worked,A,"Agriculture, forestry and fishing",EMP_DC,Total employment domestic concept,AT,Austria,2009,,504012,,,,,
dataflow,ESTAT:NAMA_10_A64_E(1.0),Employment by detailed industry (NACE Rev.2) - national accounts,A,Annual,THS_HW,Thousand hours worked,A,"Agriculture, forestry and fishing",EMP_DC,Total employment domestic concept,AT,Austria,2010,,487378,,,,,
dataflow,ESTAT:NAMA_10_A64_E(1.0),Employment by detailed industry (NACE Rev.2) - national accounts,A,Annual,THS_HW,Thousand hours worked,A,"Agriculture, forestry and fishing",EMP_DC,Total employment domestic concept,AT,Austria,2011,,501351,,,,,
dataflow,ESTAT:NAMA_10_A64_E(1.0),Employment by detailed industry (NACE Rev.2) - national accounts,A,Annual,THS_HW,Thousand hours worked,A,"Agriculture, forestry and fishing",EMP_DC,Total employment domestic concept,AT,Austria,2012,,452804,,,,,
dataflow,ESTAT:NAMA_10_A64_E(1.0),Employment by detailed industry (NACE Rev.2) - national accounts,A,Annual,THS_HW,Thousand hours worked,A,"Agriculture, forestry and fishing",EMP_DC,Total employment domestic concept,AT,Austria,2013,,434137,,,,,
dataflow,ESTAT:NAMA_10_A64_E(1.0),Employment by detailed industry (NACE Rev.2) - national accounts,A,Annual,THS_HW,Thousand hours worked,A,"Agriculture, forestry and fishing",EMP_DC,Total employment domestic concept,AT,Austria,2014,,435834,,,,,
dataflow,ESTAT:NAMA_10_A64_E(1.0),Employment by detailed industry (NACE Rev.2) - national accounts,A,Annual,THS_HW,Thousand hours worked,A,"Agriculture, forestry and fishing",EMP_DC,Total employment domestic concept,AT,Austria,2015,,416177,,,,,
dataflow,ESTAT:NAMA_10_A64_E(1.0),Employment by detailed industry (NACE Rev.2) - national accounts,A,Annual,THS_HW,Thousand hours worked,A,"Agriculture, forestry and fishing",EMP_DC,Total employment domestic concept,AT,Austria,2016,,413752,,,,,
dataflow,ESTAT:NAMA_10_A64_E(1.0),Employment by detailed industry (NACE Rev.2) - national accounts,A,Annual,THS_HW,Thousand hours worked,A,"Agriculture, forestry and fishing",EMP_DC,Total employment domestic concept,AT,Austria,2017,,406137,,,,,
dataflow,ESTAT:NAMA_10_A64_E(1.0),Employment by detailed industry (NACE Rev.2) - national accounts,A,Annual,THS_HW,Thousand hours worked,A,"Agriculture, forestry and fishing",EMP_DC,Total employment domestic concept,AT,Austria,2018,,393352,,,,,
dataflow,ESTAT:NAMA_10_A64_E(1.0),Employment by detailed industry (NACE Rev.2) - national accounts,A,Annual,THS_HW,Thousand hours worked,A,"Agriculture, forestry and fishing",EMP_DC,Total employment domestic concept,AT,Austria,2019,,380631,,,,,
dataflow,ESTAT:NAMA_10_A64_E(1.0),Employment by detailed industry (NACE Rev.2) - national accounts,A,Annual,THS_HW,Thousand hours worked,A,"Agriculture, forestry and fishing",EMP_DC,Total employment domestic concept,AT,Austria,2020,,403537,,,,,
dataflow,ESTAT:NAMA_10_A64_E(1.0),Employment by detailed industry (NACE Rev.2) - national accounts,A,Annual,THS_HW,Thousand hours worked,A,"Agriculture, forestry and fishing",EMP_DC,Total employment domestic concept,AT,Austria,2021,,405195,,,,,
dataflow,ESTAT:NAMA_10_A64_E(1.0),Employment by detailed industry (NACE Rev.2) - national accounts,A,Annual,THS_HW,Thousand hours worked,A,"Agriculture, forestry and fishing",EMP_DC,Total employment domestic concept,AT,Austria,2022,,395438,,,,,
